JOURNAL TITLE                                      (Previous title if applicable),Open Access ,ISSN (Print),ISSN (Online),FREQUENCY,EDITOR'S DETAILS                                                    (when available),PUBLISHER'S DETAILS,DATE OF LAST REVIEW OR ACCREDITATION,International Accreditation                         (if applicable)                                 USE INTERNTIONAL LIST WHEN REPORTING TO DHET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"African Journal of Hospitality, tourism and Leisure (AJHTL)",www.ajhtl.com,2223-814x,,Biannually,Prof G Tigu AES,"P O Box 21357, Helderkruin, 1733                           082 267 052",Added in 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
African Journal of Health Professions  Education ,www.ajhpe.org.za,2078-5127,,Biannually,"Prof V Burch, Email: vanessa.burch@uct.ac.za","Health and Medical Publishing Group, Private Bag X 1, Pinelands 7430",Added in 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
African journal of Laboratory Medicine,http://www.ajod.org/index.php/ajod,2225-2002,2225-2010,Annually,"Dr Elizabeth Luman, email:ecl7@cdc.gov.za","AOSIS OpenJournals   Private Bag x 22 Postnet suit #55 Tygervalley, CA 7536  021 5004 974  info@openjournals.net ",Added in 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
African journal of Rhetoric,http://reference.sabinet.co.za/sa_epublication/aar_rhetoric,1998-2054,,Annually,Segun Igen Email: ige.segun@gmail.com,"The African Association for Rhetoric, University of KwaZulu-Natal, Durban, South Africa",Added in 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Insight,,0256-2804,,Quarterly,Elizabeth le Roux (cannot update the editor's information as the info is not online),Africa Institute of South Africa                                  PO Box 630                                      Pretoria 0001,,IBSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
African Population Studies,,0850-5780,,Biannually,"Prof Clifford Odimegwu, Email: Clifford.Odimegwu@wits.ac.za","Forum Press, PO Box 93895, Boordfontein 0201",Added in 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
African Entomology,,1021-3589,,Biannually,S.A. Hanrahan & M. Villet,"Entomological Society of Southern Africa, PO Box 13162 Hatfield, Pretoria, 0028 http://www.psa.org.za",,ISI Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
African Finance Journal,,1605-9786,,Biannually,"Prof Nicholas Biekpe
Africagrowth Academy& 
University of Cape Town","Africagrowth Institute
Canal Edge 2 
Tyger Waterfront 
Carl Cronje Drive
Bellville, 7535
Cape Town, South Africa 

",,IBSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
African Historical Review (Kleio),,1753-2523,1753-2531,Biannually,"Prof Russel Viljoen, UNISA",co-published by :Routledge    & Unisa Press,Reviewed in 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
African Human Rights Law Journal,,1609-073X,,Biannually," Prof Frans Viljoen                         The Editor: Centre for Human Right                                      Faculty of Law                                                                      Universitty of Pretoria                                                             Pretoria                                                                              SA, 0002                                                                                 isabeau.demeyer@up.ac.za",Juta Law                                               PO Box 24299                            Landsdowne                                              7779,Reviewed 2011,IBSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
African Invertebrates ,,1618-5556 ,,Annually,"Dr M.B. Mostovski 
editor@nmsa.org.za","Council Natal Museum, Private Bag 9070, Pietermaritzburg, Kwazulu-Natal",Reviewed 2010,ISI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"African Journal for Physical, Health Education, Recreation and Dance (AJPHERD)",,1117-4315,,Quarterly,"Prof LO Amusa (Univen)      Centre for Biokinetics, Recreation and Sports Science      Tel:0159628076                                                         Fax: 015 962 80357                                                  Private Bag X5050                                     Thohoyandou;0950                                             amusalbw@yahoo.com","AAFAHPER-SD;Centre for Biokinetics,            Recreation and Sport Science                         LAM Publication Ltd.",Reviewed 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
African Journal of Agricultural and Resource Economics ,,1993-3738,,Biannually,"TB.Hassan Rashid, Centre for Environmental Economics and Policy in Africa, University of Pretoria, South Africa 
Tshikala B. Tshibaka, FAO, Ghana                                       Tel: +27(0)12 420 4105
Fax: +27(0)12 420 4958
E-mail: afjare@up.ac.za



",University of Pretoria Press - SA,Added 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
African Journal of AIDS Research (AJAR),,1608-5906,1727-9445,Quarterly,"Dr Kevin Kelly
Centre for AIDS Development, Research and Evaluation (CADRE), Rhodes University, Grahamstown, South Africa
e-mail: k.kelly@ru.ac.za 

",NISC                                                          Email: info@nisc.co.za ,Reviewed 2010,IBSS & ISI Science and Social Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
African Journal Of Aquatic Science ,,"1608-5914

",1727-9364,Quarterly,"Mike Coke
Editor, African Journal of Aquatic Science
81 Tatham Road, Pietermaritzburg 3201, South Africa. 
mdcoke@futurenet.co.za
","National Inquiry Services Centre, Pty Ltd, 19 Worcester Street, PO Box 377, Grahamstown, 6140",Reviewed 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
African Journal of Disability,,2229-9170,2226-7220,Annually,Leslie  Swartz                                 Email: lswartz@sun.ac.za,"AOSIS OpenJournals           Private Bag x 22 Postnet suit #55 Tygervalley,                              CA 7536                                              021 5004 974  Email:info@openjournals.net ",Added in 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
African Journal of Herpetology,,"0441-6651

", 2153-3660,Biannually,"Dr John Measey – Department of Zoology, Nelson Mandela Metropolitan University, PO Box 77000, Port Elizabeth, 6031, South Africa

","Michael Bates; Herpetological Association of Africa, Dept of Herpetology, National Museum, Bloemfontein, 9300; Tel: 051 447 9609; Fax: 051 447 6273; Email: herp@nasmus.co.za",,ISI Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
African Journal of Information & Communication,Yes                                       URL: http://link.wits.ac.za/journal/journal.html,2077-7205,2077-7213,Annually," Alison Gillwald, Editor, Southern African Journal of Information and Communication, South Africa 
","Learning Information and Knowledge (LINK) Centre                                 Graduate School of Public and Development Management
University of the Witwatersrand
Box 601, Wits 2050, Johannesburg                                                                               ",Reviewed 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
African Journal of Marine Science,,1814-232X,"1814-2338
",Annually,"Stan Pillar  stanleyp@daff.gov.za    Department of Agriculture, Forestry and Fisheries, Cape Town, South Africa
Postal address: Private Bag X2, Rogge Bay 8012, South Africa
Street address: Martin Hammerschlag Road, Foretrust Building, Foreshore, Cape Town
Telephone: +27 (0)21 402 3145/3247
Telefax: +27 (0)21 421 7406
","NISC South Africa
1 Dundas Street
PO Box 377
Grahamstown 6140
South Africa

Tel: +27 (0)46 622 9698
Fax: +27 (0)46 622 9550
e-mail: publishing@nisc.co.za ",,ISI Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
African Journal of Nursing and Midwifery,,1682-5055,,Biannually,Prof VJ Ehlers (UNISA)                    ehlervj@unisa.ac.za,UNISA Press                                                                  ,Reviewed 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
African Journal of Primary Health Care & Family Medicine,Yes                                           URL: http://www.phcfm.org/,2071-2928,2071-2930,Continuous Online,"Pierre de Villiers 
Email: editor@phcfm.org","AOSIS House, 15 Oxford Street, Durbanville, 
Cape Town, South Africa
",Added 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
African Journal of Psychiatry (AJP) (South African Psychiatry Review),Yes                                            URL: http://www.ajop.co.za/Archive.asp,1811-7805,,Quarterly,"Prof CP Szabo (Wits)                   Division of Psychiatry, Department of Neurosciences,
Faculty of Health Sciences,
University of the Witwatersrand,
7 York Road, Parktown, 2193, 
Johannesburg,
South Africa.
email: christopher.szabo@wits.ac.za
Tel: +27 11 717 2249 ","In House Publication                                                   P.O.Box 412748, Craighall 2024, Johannesburg,                                                         Tel: 011 788 9139                                                       Fax: 011 788 9136                                                        E-mail: inhouse@iafrica.com",Reviewed 2009,ISI Science& Soc Scie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
African Journal of Range and Forage Science,,"1022-0119

",1727-9380,Triannually,"Susanne Vetter 
Rhodes University, South Africa ","NISC, PO Box 377, Grahamstown, 6140 Tel: 046 622 9698; Fax: 622 9550, Email: info@nisc.co.za; www.nisc.co.za",,ISI Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"African Journal of Research in Mathematics, Science and Technology Education (AJRMSTE) or African Journal of Research in MST Education",,1028-8457,,Triannually,"Professor Fred Lubben,                                            Cape Peninsula University of Technology, Mowbray Campus.                                lubbenf@cput.ac.za                                                         & fred.lubben@york.ac.uk


            ","SAARMSTE Secretariat, Ms Caryn (Caz) McNamara, c/o Marang Centre, School of Education, Private Bag 3, Wits 2050.  Tel: 0727677676;  Fax: 0866578716; email:  saarmste@gmail.com.",Reviewed 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
African Journal on Conflict Resolution,Yes                                            URL: http://www.accord.org.za/publications/ajcr,1562-6997,,Biannually,Prof Jannie Malan (Accord)               malanj@accord.org.za,African Centre for the Constructive Resolution of Disputes(ACCORD)                                            Private Bag X018 Umhlanga Rocks 4320                       Tel: 031 502 3908                                                          Fax:031 502 4160,Reviewed 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
African Music: Journal of the International Library of African Music ,,0065-4019,,Annually,Prof D Thram e-mail: d.thram@ru.ac.za; tel: 046 603 8557,International Library of African Music - SA,Added 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
African Natural History (Annals of the South African Museum),,1816-8396,,Annually,"Dr HC Klinger                                                                    History Iziko, African Museam                                            P.O.Box 61                                                                              Cape Town                                                                     8000, Fax 021 481 3993","Iziko South African Museum                                                 P O Box 61                                                                     Cape Town, 8000                                                             Tel:  021 481 3923                                                     Fax: 021 481 3991                                                               e-mail: publications@iziko.org.za",Reviewed 2009,ISI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
African Safety Promotion - A journal of Injury and violence Prevention,,1728-774X,,Biannually,"K Ratele, Unisa Institute  for Social Health Science PO Box 1087, Lenasia, 1820, Tel: 011 8571142, Fax: 011 8571770","Open Journals Publishing Postnet Suite #55, Private Bag X22, Tygervalley, 7536  Tel: 0861000381, Fax 086 5004974",Reviewed 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
African Security Review,,1024-6029,2154-0128,Quarterly,Romi Sigsworth - Institute for Security Studies,"Institute for Security Studies                                              PO Box 1787                                                                 Brooklyn Square,0075                                                    Tel:  012-346 9500                                                            Email: pubs@issafrica.org",Reviewed 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
African Sociological Review,,1027-4332,,Biannually,"Olajide Oloyede
 Department of Anthropology & Sociology,
University of the Western Cape
 ","CODESRIA, Faculty of Humanities, Rhodes University, PO Box 94, Grahamstown, 6140, Email:  f.hendricks@ru.ac.za",,IBSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
African Yearbook on International Humanitarian Law,,1997-8391,,Annually,Prof Garth Abraham,Juta&Co.               lawproduction@juta.co.za                                                                                                 ,added 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akroterion:Journal for the Classics in South Africa,"Yes                                        URL: http://academic.sun.ac.za/akroterion/

URL: http://akroterion.journals.ac.za",0303-1896,,Annually,Prof JC Thom (SUN)                                                        Fax: 021 808 3480,"Stellenbosch University Printers                                                 Administration Building A                                                 Private Bag X1,Matieland, 7602,                                         Tel: 021 808 4321; Fax: 021 808 4565                                                              E-mail: nt1@sun.ac.za",Reviewed 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alternation:Interdisciplinary Journal for the Study of the Arts and Humanities in Southern Africa  (Formerly International Journal for the Study of Southern African Literature and Languages),http://alternation.ukzn.ac.za,1023-1757,,Biannually (Plus special editions),Prof JA Smit                                                                            University of KwaZulu Natal                                                        Westville Campus                                                             Durban 4000;                                                                      Tel: 031 260 7303                                                               Fax: 031 260 7286 ,CSSALL Publisher                           PO Box 1734                                     Wandsbeck                                        3631,Reviewed 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annals of the Ditsong National Museum of Natural History  (Annals  of the Transvaal Museum),,2220-4563 ,,Annually,"Dr Martin Krüger
kruger@ditsong.org
Po Box 413 Pretoria 0001 South Africa","P.O.Box 413                                                            Pretoria, 0001                                                              Tel:  012 322 7632                                                                           Fax: 012 322 7939                                                                    E-mail:annals@nfi.co.za; perregil@nfi.museum",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Survey of South African Law,,0376-4605,,Annually,"Prof Coenraad Visser                     vissecj@unisa.ac.za
","Mercury Crescent, Wetton 7780                                         PO Box 24299                                       Lansdowne;9779                                                                    CAPE TOWN                                                         Tel:  021 763 3515                                                            Fax: 021 797 0121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Architecture South Africa: Journal of the South African Insitute of Architects,,1682-9387,,Bimonthly,,"Picasso Headline(Pty) Ltd                                                105-107                                                                       Hatfield Gardens                                                             Cape Town, 8001                                                                 Tel: 021 462 1023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardiovascular Journal of Africa,,1995-1892                   ,1680-0745,Bimonthly,Prof AJ Brink,"Clinics Cardiv Publishing Company (Pty)Ltd; PO Box 1013; Durbanville; 7550; Tel: 021 976 8129 Fax: 021 976 8129, email:cvjsa@cvjsa.co.za",,ISI Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Child Abuse Research in South Africa (CARSA) (Child Abuse Research - A South African Journal),,1562-1383,Online – ISSN 1680-0745,Biannually,Prof M Ovens   The Editor :CARSA                                                                     P.O.Box 1267                                                              Menlyn Central                                                                                                                      Fax:012 991 0718   ,"South African Professional Society on the Abuse of Children,                                                           P.O.Box 31334                                                         Totiusdal, 0134                                                     Tel:  012 332 0918                                                Fax: 012 332 0161",Reviewed 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commonwealth Youth and Development,,1727-7140,,Biannually,Linda Cornwell (UNISA),Unisa Press                                                                       ,Reviewed 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Communicatio: South African Journal for Communication Theory and Research,,0250-0167,,Quarterly,Prof PJ Fourie Dpartment of Cominication Science UNISA. Fax 012 429 3346,UNISA Press                                                                                                                                  ,Reviewed 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Communitas:Journal for Community Communication and Information Impact,Yes                                         URL: http://www.ufs.ac.za/templates/journals.aspx?journal=2,1023-0556,,Annually,,Unit for Community Communication                                        Dept of Communication & Information Studies                                                                                University of the Free State                                                     PO Box 339                                                                Bloemfontein 9300 Email:dewetjc.hum@mail.uovs.ac.za,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concrete Beton,,1682-6116,,Quarterly,P.J Sheath. Email: ceo@concretesociety.co.za,"Concrete Society of Southern Africa                                       P.O. Box 75364                                                          Lynnwood Ridge, 0040                                                        Tel:012 348 5305                                                                                                                            E-mail: ceo@concretesociety.co.za",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critical Arts: A Journal of South-North Cultural and Media Studies,Yes                                    URL: http://www.curationis.org.za                                        ,0256-0046,,Annually,Prof Keyan Tomaselli ,"Graduate Programme in Culture Communication& Media Studies                                                 University of KwaZulu-natal                                                           Durban 4041,                                                                                                                                ",,IBSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Curationis: Research Journal of the Democratic Nursing Organisation of South Africa 
","Yes                                        URL: http://www.journals.co.za/ej/ejour_caci.html

URL: http://www.allergysa.org/B_Journals_2011.asp",0379-8577,,Quarterly,Prof M Davhana-Maselesele (NWU)               mashudu.maselesele@nwu.ac.za,"Democratic Nursing Organisation of South Africa (DENOSA)                                                                 P.O. Box 1280                                                                           Pretoria, 0001                                                              Tel:  012 343 2315/6/7                                                  Fax: 012 344 0750                                                                E-mail:information@denosa.org.za",Reviewed 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Allergy & Clinical Immunology ,,1609-3607 ,,Quarterly,Prof Eugene G Weinberg & Prof Heather J Zar ,"Allergy Soc South Africa, PO Box 88, Observatory 7935, Cape Town",,ISI Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Communicare: Journal for Communication Sciences in Southern Africa,,0259-0069,,Biannually,Prof  Sonja Verwey,"School of Communication, University of Johannesburg, PO Box 524",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Writing,,1013-929X,,Biannually,,"Programme of English studies                              University of Natal                                                     Durban, 4041                                                                    Fax: 031 260 1243                                                              ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
De Arte,http://www.unisa.ac.za/dept/press/onjourn.html,0004-3389,,Biannually,"Prof B.M.R Van Haute, University of South Africa, PO Box 392, UNISA, 0003. Tell (012) 429 6053, Email: vhautbmr@unisa.ac.za",Unisa Press                                                              ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
De Jure,,2225-7160,,Biannually,Prof C Nicholson (University of Pretoria) Email: Caroline.Nicholson@up.ac.za Landline: + 27 (012) 420-3628 Fax: +27 (012) 420-4524,Lexis Nexis ,Reviewed 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Durban Museum Novitiates,,0012-723X,,Annually,,Durban Natural Sciences Museum                                       P.O. Box 4085                                                            Durban 4000                                                                Tel:  031 311 2240/1                                                       Fax: 031 311 2242                                                                 E-mail:redmang@crsu.durban.gov.za,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecquid Novi - African Journalism Studies,,0256-0054,,Biannually,"Prof AS de Beer
Institute for Media Analysis in South Africa
P.O.Box 106 
Stellenbosch
7599; Fax: 021 886 8675
","Institute of Media Studies In Southern Africa, Prof AS de Beer, PO Box 106, Stellenbosch 7599, Ph: +27 (0)21 886 8675. Cell: +27 (0)82 882 0463, E-mail: asdebeer@imasa.org; asdebeer@sun.c.za; Website: www.imasa.org",Reviewed 2009,ISI Social Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Education As Change,,1682-3206 ,,Biannually,"Elizabeth Henning, Wilhelm van Rensburg & Katalin Morgan 
Tel: +27(0)11 559 3696, 
E-mail:journal-ed@uj.ac.za","Centre for Education Practice, UJ, Faculty of Education; PO Box 524, Auckland Park, 2006",,ISI Social Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ekklesiastikos Pharos,,1018-9556,,Annually,theklasansar@gmail.com,"Insitute for Afro-Hellenic Studies                               P.O. Box 91172                                                       Auckland Park, 2006",Reviewed 2010.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
English Academy Review,,1013-1752,,Biannually,"Prof Rosemary Gray (UP), Dr Michael Williams (Unisa",Routledge & English Academy of Southern Africa                                   ,Reviewed 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
English in Africa,,0376-8902,,Biannually,Prof M Marais;  e-mail: m.marais@ru.ac.za,Institute for the Study of English in Africa (ISEA) - SA,Reviewed 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
English Studies in Africa,,0013-8398,,Biannually,Dr John Masterson. Email: John.Materson@wits.ac.za,Taylor and Francis and UNISA Press,Reviewed 2011,ISI Arts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ensovoort,,0257-2036,,Irregular,Jacques van den Elst,"Ensovoort Society                                      Posbus 30314                                  Wonderboomport, 0033",Being called for Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ergonomics SA,,1010-2728,,Biannually,,"Ergonomics Society of South Africa,                                     Department of human Kinetics & Ergonomics                                                   Rhodes University                                                                P.O. Box 94                                                    Grahamstown, 6140",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esarbica Journal,,0376-4753,,Annually,,National Archives and Records Service of South Africa                                                                         P/B X236                                                                     Pretoria 0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feminist Africa,,1726-4596,,Biannually,,All Africa House                                                          University of Cape Town                                              Private Bag; Rondeboch;7700;                                     Tel:  021 650 2970                                                        Fax: 021 685 2142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
